feature,mae
"rss__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.1620702691038647
rss__quantile__q_0.3,0.16206659809369006
cpu__quantile__q_0.7,0.16206643911700425
cpu__sum_values,0.16206522851861646
rss__sum_values,0.1620646342999545
"rss__fft_coefficient__attr_""abs""__coeff_0",0.16204621289406826
"rss__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.1620442430801842
cpu__quantile__q_0.8,0.16204218008282312
cpu__quantile__q_0.9,0.16203043819546112
rss__mean,0.1620195024177407
cpu__quantile__q_0.1,0.16201168830923296
cpu__mean,0.16200785393193426
"cpu__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.16200765450273083
cpu__quantile__q_0.6,0.16200235923485873
cpu__quantile__q_0.4,0.1619933604286319
"rss__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.1619922633428113
"cpu__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.16198881428535886
rss__maximum,0.1619863206104161
rss__benford_correlation,0.16196885968548283
cpu__minimum,0.16195818637079068
memory__quantile__q_0.2,0.1598525553877716
memory__quantile__q_0.1,0.15974468799593755
memory__maximum,0.15973834019569627
"memory__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.1597023893839564
memory__quantile__q_0.6,0.1596456405287967
"memory__fft_coefficient__attr_""abs""__coeff_0",0.1595853277343527
"memory__fft_coefficient__attr_""real""__coeff_0",0.1595778347573359
memory__sum_values,0.15956756524587898
memory__quantile__q_0.4,0.15953348658661368
"memory__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)",0.15946185379901842
memory__mean,0.15945930093374552
memory__root_mean_square,0.15945588458536625
"memory__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",0.15945278813179617
memory__median,0.1594512144001281
memory__minimum,0.15944848333628214
"memory__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)",0.15943684982408965
memory__quantile__q_0.8,0.15939968836977622
memory__quantile__q_0.7,0.1593996102263597
memory__abs_energy,0.1593989385231156
memory__absolute_maximum,0.15937863926915496
memory__quantile__q_0.9,0.15934147982757055
memory__quantile__q_0.3,0.159216294529209
